,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,deg_9,deg_10,deg_11,deg_12,deg_13,deg_14,deg_15,deg_16,deg_17,deg_18,deg_19,deg_20
PC11,2.6780411898887856e-06,0.003176618672015804,0.12160954653531846,2.165343744552421,18.44908635501128,32.55679510106566,4.823169541247039,7.9462025567303955,1.1960555176291223,8.346624775230344,1.0821233707541105,2.334114251129437,6.71050764862268,1.6341865200935581,0.46194826222037444,3.6779579760941252,4.003973185306265,0.6109733458538454,0.7334000307276337,3.1427489744833816
PC12,1.4405518170976782e-06,0.0004654662103499465,0.0058616761759303256,0.10536071479308975,1.7167689650135975,9.007725203359142,21.486778503685155,4.33868800505347,10.920233467068819,1.2792674917239346,12.46438086052609,0.9764323449285415,6.619070312332259,8.756505077302949,0.5009916491141927,3.028674342705413,9.349409042778802,2.9408310755489193,0.7041553408212173,5.798399020306259
PC13,2.2794087115151216e-05,8.040842591619167e-05,0.0004284526498527369,0.005409178628285834,0.15771602232707085,1.747083237859531,13.229036558501567,23.636915172406415,0.6175377672667124,14.53235613885495,0.5623187471984076,10.818002979010164,0.6153148161800731,7.148350183090415,5.9947168176224865,0.01202574873508588,8.785227710099692,6.003466986846755,0.1862879549695867,5.9477023252399555
PC14,7.459345553689229e-06,1.3582515106930175e-09,4.823834349309403e-05,3.0648331753738944e-05,0.0088566978033729,0.20448946184723335,3.50275682365374,17.157738000237604,18.067820516738358,0.008632072170227196,14.948412305542682,0.7967330475114489,13.091732139775628,0.048428131202606764,9.642553264955591,3.0932772415260406,5.22211690303857,8.40234807314683,0.01356833117301648,5.790450642298076
PC15,7.442062190710216e-06,2.5514264746317178e-05,5.737258773176715e-05,1.50077999522074e-08,0.0014752641112226912,0.019442272860529033,0.5275144019265765,5.928897938798162,22.319222492095832,22.847156893135313,0.5796370148969757,12.873760852725091,5.047545825750987,6.892634660341453,3.022484285987971,7.723062534592598,0.5989695812082013,7.41842814503903,0.34044704361069617,3.859230448996763
PC16,2.618906925084616e-05,5.484666146370394e-05,6.177560414190086e-05,2.2369133592077283e-05,0.00010452513380179884,0.00037498522480890314,0.025492818336773353,0.6601105568965352,5.2982516650359095,17.11081455119705,26.248478760765803,9.042229417207107,3.7478530682186277,15.415052588724235,0.0522803720229349,10.493692344735873,0.17168687812716604,7.481257990326793,0.8430254963850892,3.409128801193109
PC17,1.1651197213884679e-06,3.670824680571249e-06,9.591161814158518e-06,2.3017831550560246e-06,3.571366246685277e-06,5.458947844087833e-05,0.0010647748949934768,0.0194768313812078,0.26372488181590836,1.8431389620353302,9.965315093580756,24.822692982376545,22.259032944580024,1.6699507323743306,9.338786453722264,6.096925002036325,6.215384809213833,9.293276164676026,3.067672939370756,5.143482538207582
PC18,6.539973648993775e-06,7.972409793672004e-06,0.0001869681882309365,0.00033320814285809356,0.00011369014322364666,1.507115448139284e-05,0.0016340613333737167,0.006406625026090056,0.019024381506818455,0.1345212160538457,1.012784883564761,4.43661452448078,13.178794516003078,24.864620056155534,11.813096780152657,1.4532118356339343,22.03956078902753,6.67587904859065,7.684102807629223,6.679085024829481
PC19,9.855046029414861e-07,2.0321645651450013e-06,3.787666838771368e-06,4.8456535171533324e-09,6.8181529666317376e-06,5.017869488169906e-07,9.335102580071503e-06,7.248298403297883e-05,0.0002004237158008365,5.6303901016635027e-05,0.01267560381818873,0.17234223229352733,1.3427940933509737,8.140092166857762,29.066527662433117,33.48378215246265,12.181088750441344,0.003944728566084934,10.919468201705593,4.6769317322457304
PC20,7.2669606293833005e-06,5.779131592330278e-07,7.029736065612954e-06,2.367062516088544e-10,1.2685376075081686e-05,3.6599072587257785e-05,0.0009478358162935735,0.0005212749740136968,8.983962415275206e-05,0.00019640970364914512,0.0016854098138862242,0.00021121714196199444,0.004092499639430709,0.16717078741217115,1.030382185337404,3.3203073412282866,11.210434594944708,30.972434262056016,43.03171030857453,10.259751874438322
