,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,deg_9,deg_10,deg_11,deg_12,deg_13,deg_14,deg_15,deg_16,deg_17,deg_18,deg_19,deg_20
PC11,-0.0001636472178159099,0.005636149990920934,-0.03487256034983931,0.1471510701473972,-0.4295239964776273,0.5705856211040168,-0.21961715646203597,-0.2818900948371616,0.10936432314192422,0.288905257398171,0.10402515901233271,-0.1527780825619119,-0.25904647553330423,-0.1278353049862814,0.0679667758703011,0.1917800296197215,0.2000993049789595,0.078164784004937,-0.08563877805805228,-0.17727800129974902
PC12,0.00012002299017678564,-0.002157466593831632,0.0076561584204680126,-0.032459315272058614,0.13102553052796992,-0.3001287257721117,0.4635383317880535,-0.20829517529346353,-0.33045776533573573,0.11310470775895823,0.35304930053076283,0.09881459127722694,-0.2572755393023647,-0.29591392460144467,-0.07078076356710153,0.17403086917858604,0.3057680336918626,0.1714885149375584,-0.08391396432187061,-0.24079865075008744
PC13,-0.00047743153556453744,0.0008967074546148909,-0.0020699097802869015,0.007354711842272159,-0.03971347659511452,0.13217727633218695,-0.36371742546242636,0.4861781069979027,-0.07858357126440058,-0.38121327546210865,0.07498791550632726,0.32890732705444803,0.07844200508529044,-0.2673639875355395,-0.24484110801951714,0.010966197488229856,0.2963988480088897,0.24501973363071708,-0.04316108837478345,-0.24387911606449528
PC14,0.0002731180249212642,-3.685446391813368e-06,-0.0006945382890315985,-0.0005536093546332011,0.009411003030162566,-0.04522051103727526,0.18715653404713767,-0.41421900004994466,0.4250625897057792,-0.009290894558774842,-0.38663176674379307,0.08925990407296262,0.36182498724902384,-0.02200639252640168,-0.3105246087664485,-0.17587715148722532,0.22851951564447553,0.289868040203587,0.01164831797858235,-0.2406335521555146
PC15,-0.00027280143311042587,0.0005051164692060355,-0.0007574469468666908,-1.2250632617219161e-05,-0.003840916702068259,0.01394355509205921,-0.07263018669441629,0.2434932840716179,-0.4724322437354994,0.47798699661324795,-0.07613389618934366,-0.3588002348483776,0.22466743924634444,0.26253827645395733,-0.17385293457367842,-0.27790398584030057,0.0773931250957216,0.272367915603858,0.058347840029490054,-0.19644924151028842
PC16,0.0005117525696158854,-0.0007405853189451162,0.0007859745806443162,-0.00047296018428697866,0.0010223753410651044,-0.0019364535233485547,0.015966470598342438,-0.08124718806805163,0.2301793141234874,-0.413652203562329,0.512332692308092,-0.30070299993859567,-0.19359372583373222,0.39262007830374945,0.022864901491791934,-0.3239396910651097,-0.04143511531625875,0.273518883997555,0.09181641990325527,-0.18463826258912613
PC17,-0.00010794071156836367,-0.00019159396338536475,0.0003096960092438796,-0.00015171628637216324,0.00018898058753970677,0.00073884692894319,-0.0032630888663863827,0.013955941881939679,-0.05135415093406845,0.1357622540338562,-0.31567887312236714,0.49822377484797475,-0.4717947959079246,0.12922657359747378,0.3055942809301618,-0.2469195213432167,-0.2493067349514215,0.3048487520833245,0.17514773590802582,-0.22679247205777317
PC18,-0.00025573372184742814,-0.00028235456067986583,0.001367363112823132,-0.001825398977917139,0.0010662558005640423,0.0003882158482261233,-0.004042352450459654,0.008004139570303642,-0.013792890018708355,0.0366771340284169,-0.10063721397002011,0.21063272595873558,-0.3630260943238527,0.4986443628093627,-0.34370185888575955,-0.12054923623291582,0.46946310599478985,-0.2583772251687569,-0.27720214298647156,0.2584392583341293
PC19,9.927258448038341e-05,0.0001425540095944341,-0.00019461929089305017,6.96107284630274e-06,-0.00026111593146783935,7.083692178638133e-05,-0.00030553400105506266,0.0008513693912337865,0.001415710831352351,-0.0007503592540685763,-0.011258598411076189,0.04151412196994263,-0.11587899263244282,0.2853084675725164,-0.5391338207016243,0.5786517273149943,-0.34901416519163436,-0.0062807074172301115,0.3304461862649589,-0.2162621495372163
PC20,-0.0002695730073539133,7.602059978933524e-05,-0.00026513649438756926,-1.5385260856054876e-06,0.0003561653559104491,0.0006049716736117302,-0.003078694230178719,0.002283144704160682,-0.0009478376662316816,-0.0014014624634614554,0.004105374299483817,-0.0014533311458920656,0.006397264758809588,-0.04088652435854277,0.10150774282474238,-0.18221710515833267,0.3348198708999319,-0.5565288335931573,0.6559855967060141,-0.3203084743561794
